precinct,long,lat
1,-74.006973,40.720382
5,-73.99747613,40.71652484
6,-74.00248682,40.73396962
7,-73.98313749,40.71603034
9,-73.98419038,40.72689269
10,-74.00214428,40.75116465
13,-73.98554505,40.73728918
14,-73.98662112,40.75180938
17,-73.97082,40.756937
18,-73.98570482,40.76372665
19,-73.95750877,40.77307193
20,-73.98163581,40.77947645
22,-73.96543425,40.78241569
23,-73.94432724,40.79136758
24,-73.97004073,40.79554171
25,-73.941132,40.801098
26,-73.95859308,40.81192287
28,-73.95048214,40.80445877
30,-73.94927513,40.82610776
32,-73.94265297,40.82193587
33,-73.93968041,40.84053033
34,-73.92860675,40.86173623
40,-73.925368,40.810569
41,-73.895629,40.816424
42,-73.89911325,40.8325292
43,-73.86259773,40.82346381
44,-73.91815407,40.83220928
45,-73.827296,40.83107
46,-73.90937372,40.85366967
47,-73.847437,40.887754
48,-73.900396,40.844155
49,-73.85082139,40.85537418
50,-73.9014328,40.89170681
52,-73.879678,40.869286
60,-73.9833416,40.58296406
61,-73.94749764,40.59512992
62,-73.99579845,40.60658175
63,-73.941588,40.628193
66,-73.98641906,40.6285774
67,-73.93192622,40.64857615
68,-74.01953909,40.62359027
69,-73.905097,40.64882
70,-73.96088589,40.63281058
71,-73.94571346,40.66324217
72,-74.00195025,40.6533179
73,-73.91183312,40.66919959
75,-73.881488,40.671378
76,-74.00237446,40.67854857
77,-73.94575839,40.67317103
78,-73.97968247,40.66828585
79,-73.94966917,40.6892939
81,-73.924286,40.689894
83,-73.91915729,40.69430835
84,-73.99102532,40.69359476
88,-73.960528,40.690305
90,-73.94537736,40.70896218
94,-73.94565308,40.72659447
100,-73.816488,40.586525
101,-73.76341443,40.60087782
102,-73.8406847,40.69810518
103,-73.78415493,40.70287229
104,-73.88864492,40.70878858
105,-73.74505303,40.69738203
106,-73.839768,40.682496
107,-73.79634546,40.72490309
108,-73.92516108,40.73876626
109,-73.81506942,40.76901798
110,-73.86366878,40.74861911
111,-73.75539858,40.75456104
112,-73.85062614,40.72277958
113,-73.775763,40.679988
114,-73.915272,40.769531
115,-73.87603962,40.76699697
120,-74.077465,40.644822
122,-74.106616,40.588817
123,-74.20342242,40.53827578